Ambas;15;25;ResultC;W;FTS;CS;BTS;TG;GF;GA;1.5;2.5;3.5;W1;FTS1;CS1;BTS1;TG1;GF1;GA1;1.51;2.51;3.51
1;1;0;0;0,12;0,50;0,12;0,38;3,00;0,50;2,50;0,62;0,62;0,25;0,38;0,00;0,25;0,75;2,63;1,50;1,13;0,88;0,38;0,38
0;1;1;0;0,29;0,14;0,14;0,71;2,57;1,14;1,43;0,86;0,43;0,14;0,71;0,00;0,00;1,00;3,86;2,29;1,57;1,00;0,71;0,57
1;1;0;0;0,25;0,38;0,12;0,50;4,75;1,13;3,63;0,88;0,75;0,75;0,17;0,33;0,00;0,67;3,00;1,00;2,00;1,00;0,83;0,17
1;1;1;0;0,40;0,20;0,20;0,60;4,40;1,80;2,60;0,80;0,80;0,60;0,67;0,00;0,67;0,33;3,00;2,33;0,67;0,83;0,67;0,50
1;1;1;0;0,00;0,50;0,00;0,50;2,25;0,50;1,75;0,75;0,25;0,25;0,40;0,20;0,40;0,60;3,00;1,80;1,20;0,80;0,80;0,40
1;1;0;0;0,71;0,14;0,29;0,57;2,43;1,57;0,86;0,71;0,71;0,00;0,22;0,33;0,22;0,56;2,33;0,89;1,44;0,67;0,44;0,22
1;1;1;0;0,40;0,00;0,20;0,80;4,20;1,80;2,40;1,00;0,80;0,80;0,00;0,80;0,40;0,20;1,40;0,40;1,00;0,40;0,20;0,20
1;1;0;0;0,17;0,33;0,00;0,67;3,17;1,00;2,17;0,83;0,67;0,33;0,20;0,40;0,20;0,40;2,00;0,60;1,40;0,60;0,40;0,00
0;1;1;1;0,33;0,33;0,33;0,50;2,50;1,17;1,33;0,83;0,50;0,33;0,50;0,00;0,50;0,50;2,67;1,33;1,33;0,50;0,50;0,50
1;1;1;0;0,25;0,50;0,38;0,38;1,63;0,63;1,00;0,62;0,25;0,00;0,12;0,62;0,12;0,38;3,13;0,75;2,38;0,75;0,75;0,38
0;0;0;0;0,50;0,33;0,00;0,67;4,33;2,00;2,33;1,00;0,67;0,33;0,71;0,14;0,43;0,43;2,43;1,43;1,00;0,71;0,43;0,14
0;0;0;1;0,60;0,13;0,33;0,60;2,80;1,73;1,07;0,80;0,60;0,27;0,20;0,53;0,27;0,40;1,53;0,67;0,87;0,53;0,13;0,07
0;1;1;0;0,23;0,23;0,15;0,69;3,00;1,62;1,38;0,92;0,54;0,38;0,67;0,33;0,44;0,44;2,00;1,44;0,56;0,67;0,44;0,11
0;0;0;1;0,50;0,33;0,67;0,17;1,17;0,83;0,33;0,33;0,00;0,00;0,33;0,50;0,17;0,33;3,00;1,33;1,67;0,50;0,50;0,33
1;1;0;0;0,40;0,40;0,40;0,40;2,40;1,40;1,00;0,80;0,60;0,20;0,20;0,60;0,20;0,20;3,00;0,60;2,40;0,80;0,60;0,40
1;1;0;0;0,71;0,00;0,14;0,86;3,14;2,14;1,00;1,00;0,71;0,29;0,14;0,43;0,14;0,57;2,57;0,86;1,71;0,71;0,57;0,29
1;1;1;0;0,00;0,50;0,12;0,50;3,13;0,88;2,25;0,62;0,62;0,25;0,50;0,25;0,62;0,25;2,50;1,50;1,00;0,75;0,50;0,38
1;1;1;0;0,33;0,22;0,22;0,67;4,22;1,67;2,56;0,89;0,67;0,67;0,56;0,11;0,11;0,78;3,56;2,33;1,22;0,89;0,67;0,44
1;1;1;1;0,46;0,23;0,31;0,62;2,31;1,31;1,00;0,69;0,38;0,23;0,15;0,38;0,23;0,54;1,92;0,69;1,23;0,77;0,23;0,08
0;0;0;1;0,64;0,21;0,50;0,50;2,29;1,64;0,64;0,64;0,43;0,21;0,21;0,36;0,43;0,50;1,64;0,86;0,79;0,57;0,29;0,07
1;1;1;1;0,50;0,33;0,33;0,50;2,83;1,67;1,17;0,67;0,50;0,33;0,33;0,17;0,33;0,67;2,67;1,33;1,33;0,67;0,67;0,33
1;1;1;0;0,14;0,43;0,14;0,57;2,29;0,71;1,57;0,71;0,43;0,29;0,43;0,14;0,00;0,86;3,00;1,71;1,29;0,86;0,57;0,29
1;1;1;0;0,50;0,10;0,40;0,50;2,30;1,70;0,60;0,70;0,30;0,20;0,18;0,55;0,09;0,36;2,00;0,73;1,27;0,55;0,18;0,09
0;1;0;0;0,14;0,43;0,14;0,57;2,43;1,00;1,43;0,71;0,43;0,14;0,29;0,57;0,14;0,29;2,71;1,14;1,57;0,43;0,43;0,29
0;1;0;0;0,64;0,07;0,50;0,50;2,50;1,86;0,64;0,71;0,36;0,29;0,21;0,36;0,07;0,57;2,43;1,07;1,36;0,64;0,36;0,29
0;0;0;0;0,29;0,29;0,29;0,57;2,29;1,00;1,29;0,71;0,43;0,14;0,00;0,75;0,25;0,25;1,00;0,25;0,75;0,25;0,00;0,00
0;1;1;1;0,43;0,00;0,29;0,71;2,57;1,71;0,86;0,86;0,43;0,29;0,43;0,29;0,14;0,71;3,29;2,00;1,29;0,86;0,43;0,29
0;1;0;0;0,38;0,38;0,31;0,46;2,62;1,46;1,15;0,69;0,62;0,31;0,62;0,15;0,54;0,46;2,46;1,54;0,92;0,54;0,46;0,23
1;1;0;0;0,67;0,33;0,83;0,17;1,17;1,00;0,17;0,33;0,17;0,00;0,33;0,33;0,67;0,33;1,83;1,33;0,50;0,67;0,33;0,17
0;0;0;1;0,50;0,43;0,50;0,29;2,00;1,29;0,71;0,43;0,36;0,21;0,29;0,29;0,29;0,50;2,21;1,21;1,00;0,71;0,36;0,07
1;1;1;1;0,67;0,17;0,33;0,67;3,33;2,17;1,17;0,67;0,50;0,33;0,50;0,00;0,33;0,67;3,83;2,00;1,83;0,83;0,83;0,67
1;1;1;0;0,33;0,17;0,33;0,50;2,67;1,17;1,50;0,50;0,50;0,50;0,67;0,17;0,50;0,50;3,17;2,50;0,67;0,83;0,67;0,50
0;0;0;1;0,18;0,55;0,27;0,36;1,45;0,55;0,91;0,45;0,18;0,00;0,55;0,18;0,45;0,45;2,55;1,64;0,91;0,82;0,36;0,18
1;1;1;1;0,12;0,38;0,12;0,50;2,75;1,00;1,75;0,88;0,25;0,12;0,44;0,44;0,33;0,22;1,78;0,78;1,00;0,56;0,22;0,00
0;1;0;1;0,46;0,15;0,54;0,38;2,00;1,23;0,77;0,62;0,23;0,23;0,38;0,31;0,31;0,54;2,15;1,31;0,85;0,69;0,38;0,15
1;1;1;0;0,00;0,40;0,20;0,60;3,00;1,00;2,00;0,80;0,60;0,40;0,17;0,17;0,00;0,83;3,00;1,33;1,67;1,00;0,67;0,33
1;1;0;0;0,33;0,50;0,00;0,50;3,33;1,17;2,17;0,83;0,83;0,33;0,57;0,29;0,57;0,29;2,00;1,29;0,71;0,71;0,43;0,00
1;1;1;0;0,11;0,56;0,22;0,33;2,22;0,89;1,33;0,67;0,33;0,22;0,22;0,40;0,30;0,50;0,40;1,50;1,00;0,50;0,60;0,10
0;1;1;0;0,40;0,40;0,60;0,20;1,20;0,80;0,40;0,40;0,00;0,00;0,60;0,20;0,40;0,40;2,40;1,40;1,00;0,60;0,60;0,20
0;0;0;0;0,40;0,00;0,40;0,60;3,80;2,40;1,40;1,00;1,00;0,40;0,20;0,40;0,00;0,60;2,40;1,00;1,40;0,60;0,40;0,20
